,movie,year,rate,votes,description,genre,minutes,director
0,Interstellar,2014,8.6,1218193,    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"
Adventure, Drama, Sci-Fi            ",169,Christopher Nolan
1,Guardianes de la galaxia,2014,8.1,879628,    A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,"
Action, Adventure, Comedy            ",121,James Gunn
2,Perdida,2014,8.1,723608,"    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
Crime, Drama, Mystery            ",149,David Fincher
3,Capitán América: El Soldado de Invierno,2014,7.8,619087,"    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","
Action, Adventure, Sci-Fi            ",136,Anthony Russo
4,El gran hotel Budapest,2014,8.1,604432,"    The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","
Adventure, Comedy, Drama            ",99,Wes Anderson
5,X-Men: Días del futuro pasado,2014,8.0,597366,    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"
Action, Adventure, Sci-Fi            ",132,Bryan Singer
6,The Imitation Game (Descifrando Enigma),2014,8.0,590040,"    During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","
Biography, Drama, Thriller            ",114,Morten Tyldum
7,Whiplash,2014,8.5,574140,    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"
Drama, Music            ",106,Damien Chazelle
8,Al filo del mañana,2014,7.9,524184,"    A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","
Action, Adventure, Sci-Fi            ",113,Doug Liman
9,Kingsman: Servicio secreto,2014,7.7,520933,"    A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.","
Action, Adventure, Comedy            ",129,Matthew Vaughn
10,Birdman o (La inesperada virtud de la ignorancia),2014,7.7,494054,"    A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","
Comedy, Drama            ",119,Alejandro G. Iñárritu
11,El hobbit: La batalla de los cinco ejércitos,2014,7.4,422410,    Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,"
Adventure, Fantasy            ",144,Peter Jackson
12,True Detective,2014– ,9.0,411389,"    Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","
Crime, Drama, Mystery            ",55,Vince Vaughn
13,John Wick (Otro día para matar),2014,7.3,401762,    An ex-hitman comes out of retirement to track down the gangsters that killed his dog and took everything from him.,"
Action, Crime, Thriller            ",101,Chad Stahelski
14,Ex_Machina,2014,7.7,399656,    A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,"
Drama, Mystery, Sci-Fi            ",108,Alex Garland
15,Divergente,2014,6.7,388481,"    In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","
Adventure, Mystery, Sci-Fi            ",139,Neil Burger
16,Lucy,I 2014,6.4,387219,"    A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","
Action, Sci-Fi, Thriller            ",89,Luc Besson
17,El francotirador,2014,7.3,385970,"    Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.","
Action, Biography, Drama            ",133,Clint Eastwood
18,Nightcrawler,2014,7.9,382610,"    When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","
Crime, Drama, Thriller            ",117,Dan Gilroy
19,El amanecer del planeta de los simios,2014,7.6,378995,    A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,"
Action, Adventure, Drama            ",130,Matt Reeves
20,The Amazing Spider-Man 2: El poder de Electro,2014,6.6,373955,"    When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","
Action, Adventure, Sci-Fi            ",142,Marc Webb
21,El corredor del laberinto,2014,6.8,373503,"    Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","
Action, Mystery, Sci-Fi            ",113,Wes Ball
22,Corazones de acero,2014,7.6,366123,"    A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","
Action, Drama, War            ",134,David Ayer
23,Los juegos del hambre: Sinsajo - Parte 1,2014,6.7,364113,"    Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.","
Action, Adventure, Sci-Fi            ",123,Francis Lawrence
24,Big Hero 6,2014,7.8,348077,"    The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","
Animation, Action, Adventure            ",102,Don Hall
25,La teoría del todo,2014,7.7,340843,    A look at the relationship between the famous physicist Stephen Hawking and his wife.,"
Biography, Drama, Romance            ",123,James Marsh
26,Godzilla,2014,6.4,337187,"    The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.","
Action, Adventure, Sci-Fi            ",123,Gareth Edwards
27,Boyhood (Momentos de una vida),I 2014,7.9,308017,"    The life of Mason, from early childhood to his arrival at college.","
Drama            ",165,Richard Linklater
28,Infiltrados en la universidad,2014,7.0,307808,"    After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","
Action, Comedy, Crime            ",112,Phil Lord
29,Bajo la misma estrella,2014,7.8,301671,    Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,"
Drama, Romance            ",126,Josh Boone
30,Maléfica,2014,7.0,293082,"    A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.","
Action, Adventure, Family            ",97,Robert Stromberg
31,La LEGO película,2014,7.8,290412,"    An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","
Animation, Action, Adventure            ",100,Phil Lord
32,The Equalizer: El protector,2014,7.2,281905,"    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.","
Action, Crime, Thriller            ",132,Antoine Fuqua
33,The Interview,II 2014,6.6,278684,"    Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to assassinate him.","
Comedy            ",112,Evan Goldberg
34,Transformers: La era de la extinción,2014,5.7,275620,"    Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.","
Action, Adventure, Sci-Fi            ",165,Michael Bay
35,Cómo entrenar a tu dragón 2,2014,7.8,259520,"    When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.","
Animation, Action, Adventure            ",102,Dean DeBlois
36,The Flash,2014– ,7.9,258288,"    After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.","
Action, Adventure, Drama            ",43,Grant Gustin
37,Malditos vecinos,I 2014,6.3,257034,"    After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.","
Comedy            ",97,Nicholas Stoller
38,300: El origen de un imperio,2014,6.2,254703,"    Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","
Action, Fantasy, War            ",102,Noam Murro
39,Fargo,2014– ,9.0,252223,"    Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","
Crime, Drama, Thriller            ",53,Billy Bob Thornton
40,Non-Stop (Sin escalas),2014,7.0,227760,"    An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes.","
Action, Mystery, Thriller            ",106,Jaume Collet-Serra
41,Noé,2014,5.8,222660,    Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,"
Action, Adventure, Drama            ",138,Darren Aronofsky
42,Predestination,I 2014,7.5,215540,"    For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","
Drama, Mystery, Sci-Fi            ",97,Michael Spierig
43,RoboCop,2014,6.2,201172,"    In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.","
Action, Crime, Sci-Fi            ",117,José Padilha
44,Transcendence,I 2014,6.3,198782,"    A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program.","
Drama, Mystery, Romance            ",119,Wally Pfister
45,Ninja Turtles,2014,5.8,188664,"    When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","
Action, Adventure, Comedy            ",101,Jonathan Liebesman
46,Gotham,2014– ,7.9,182227,    The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"
Action, Crime, Drama            ",42,Ben McKenzie
47,It Follows,2014,6.9,170427,    A young woman is followed by an unknown supernatural force after a sexual encounter.,"
Horror, Mystery            ",100,David Robert Mitchell
48,Chef,2014,7.3,167490,"    A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.","
Adventure, Comedy, Drama            ",114,Jon Favreau
49,Los 100,2014– ,7.8,162719,"    Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","
Drama, Mystery, Sci-Fi            ",43,Eliza Taylor
50,Babadook,2014,6.8,160318,"    A widowed mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.","
Drama, Horror            ",93,Jennifer Kent
51,Drácula: La leyenda jamás contada,2014,6.3,160006,"    As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.","
Action, Drama, Fantasy            ",92,Gary Shore
52,V3nganza,2014,6.0,158810,"    Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name.","
Action, Thriller            ",108,Olivier Megaton
53,El juez,2014,7.4,158140,"    Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family.","
Crime, Drama            ",141,David Dobkin
54,Mil maneras de morder el polvo,2014,6.1,155772,"    As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.","
Action, Comedy, Western            ",116,Seth MacFarlane
55,Need for Speed,2014,6.5,151518,"    Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.","
Action, Crime, Thriller            ",132,Scott Waugh
56,Los mercenarios 3,2014,6.1,150627,"    Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.","
Action, Adventure, Thriller            ",126,Patrick Hughes
57,Exodus: Dioses y reyes,2014,6.0,147126,"    The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 600,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.","
Action, Adventure, Drama            ",150,Ridley Scott
58,Relatos salvajes,2014,8.1,140859,    Six short stories that explore the extremities of human behavior involving people in distress.,"
Comedy, Drama, Thriller            ",122,Damián Szifron
59,Cómo acabar sin tu jefe 2,2014,6.3,138658,"    Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.","
Comedy, Crime            ",108,Sean Anders
60,Sin City: Una dama por la que matar,2014,6.5,135096,    Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,"
Crime, Thriller            ",102,Frank Miller
61,Hércules,I 2014,6.0,133426,"    Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.","
Action, Adventure, Fantasy            ",98,Brett Ratner
62,PK,2014,8.2,128471,    An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,"
Comedy, Drama, Sci-Fi            ",153,Rajkumar Hirani
63,La entrega,2014,7.1,127954,"    Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deep into the neighborhood's past where friends, families, and foes all work together to make a living - no matter the cost.","
Crime, Drama            ",106,Michaël R. Roskam
64,Invencible (Unbroken),I 2014,7.2,125841,"    After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.","
Biography, Drama, Sport            ",137,Angelina Jolie
65,Foxcatcher,2014,7.0,122870,"    U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all.","
Biography, Drama, Sport            ",134,Bennett Miller
66,Anarchy: La noche de las bestias,2014,6.5,121166,"    Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs.","
Action, Horror, Sci-Fi            ",103,James DeMonaco
67,Into the Woods,2014,6.0,119564,    A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,"
Adventure, Comedy, Drama            ",125,Rob Marshall
68,Vamos de polis,2014,6.5,119155,"    Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.","
Comedy, Crime            ",104,Luke Greenfield
69,No hay dos sin tres,2014,6.0,119129,"    After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.","
Comedy, Romance            ",109,Nick Cassavetes
70,Monuments Men,2014,6.1,114709,    An unlikely World War II platoon is tasked to rescue art masterpieces from Nazi thieves and return them to their owners.,"
Drama, History, War            ",118,George Clooney
71,Dos tontos todavía más tontos,2014,5.6,114075,"    20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.","
Adventure, Comedy            ",109,Bobby Farrelly
72,Annabelle,I 2014,5.4,113601,    A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,"
Horror, Mystery, Thriller            ",99,John R. Leonetti
73,Lo que hacemos en las sombras,2014,7.6,113268,"    Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.","
Comedy, Horror            ",86,Jemaine Clement
74,Siempre Alice,2014,7.5,112068,    A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimer's Disease.,"
Drama            ",101,Richard Glatzer
75,Jack Ryan: Operación Sombra,2014,6.2,111160,"    Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.","
Action, Drama, Thriller            ",105,Kenneth Branagh
76,Alma salvaje,I 2014,7.1,106428,    A chronicle of one woman's one thousand one hundred mile solo hike undertaken as a way to recover from a recent personal tragedy.,"
Adventure, Biography, Drama            ",115,Jean-Marc Vallée
77,Si decido quedarme,2014,6.8,103089,"    Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.","
Drama, Fantasy, Music            ",107,R.J. Cutler
78,Juntos y revueltos,2014,6.5,102569,"    After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.","
Comedy, Romance            ",117,Frank Coraci
79,The Giver,2014,6.5,102087,"    In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.","
Drama, Romance, Sci-Fi            ",97,Phillip Noyce
80,Caminando entre las tumbas,2014,6.5,101500,    Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,"
Crime, Drama, Mystery            ",114,Scott Frank
81,The Raid 2,2014,8.0,100288,"    Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","
Action, Crime, Thriller            ",150,Gareth Evans
82,Orígenes,2014,7.4,99916,    A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.,"
Drama, Romance, Sci-Fi            ",106,Mike Cahill
83,Pompeya,I 2014,5.5,97529,"    A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.","
Action, Adventure, Drama            ",105,Paul W.S. Anderson
84,Sex Tape: Algo pasa en la nube,2014,5.1,97155,"    A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.","
Comedy, Romance            ",94,Jake Kasdan
85,Penny Dreadful,2014–2016,8.2,96922,"    Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein, and medium Vanessa Ives unite to combat supernatural threats in Victorian London.","
Drama, Fantasy, Horror            ",60,Josh Hartnett
86,Los imprevistos del amor,2014,7.2,96839,"    Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.","
Comedy, Romance            ",102,Christian Ditter
87,Silicon Valley,2014– ,8.6,96756,"    Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","
Comedy            ",28,Thomas Middleditch
88,Cómo defender a un asesino,2014– ,8.2,95141,    A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"
Crime, Drama, Mystery            ",43,Viola Davis
89,Vaya patrulla,2014,6.2,90894,"    Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.","
Action, Comedy, Crime            ",99,Tim Story
90,Las novias de mis amigos,2014,6.2,89524,"    Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?""","
Comedy, Romance            ",94,Tom Gormican
91,Cosmos: Una odisea en el espacio-tiempo,2014– ,9.3,88947,    An exploration of our discovery of the laws of nature and coordinates in space and time.,"
Documentary            ",557,Neil deGrasse Tyson
92,St. Vincent,2014,7.3,87308,"    A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door.","
Comedy, Drama            ",102,Theodore Melfi
93,Noche en el museo: El secreto del faraón,2014,6.2,86469,"    Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.","
Adventure, Comedy, Family            ",98,Shawn Levy
94,Outlander,2014– ,8.5,81841,    An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"
Drama, Fantasy, Romance            ",64,Caitriona Balfe
95,The Guest,I 2014,6.7,79443,"    A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.","
Mystery, Thriller            ",100,Adam Wingard
96,Puro vicio,2014,6.7,79157,"    In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.","
Comedy, Crime, Drama            ",148,Paul Thomas Anderson
97,3 días para matar,2014,6.2,79098,    A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,"
Action, Drama, Thriller            ",117,McG
98,Black Sails,2014–2017,8.3,77834,"    Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""","
Adventure, Drama            ",56,Jessica Parker Kennedy
99,Paddington,2014,7.2,76780,"    A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.","
Adventure, Comedy, Family            ",95,Paul King
100,Selma,2014,7.5,74920,"    A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.","
Biography, Drama, History            ",128,Ava DuVernay
101,Big Eyes,I 2014,7.0,73571,"    A drama about the awakening of painter Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s.","
Biography, Crime, Drama            ",106,Tim Burton
102,"Yo, Frankenstein",2014,5.1,73397,"    Frankenstein's creature finds himself caught in an all-out, centuries old war between two immortal clans.","
Action, Fantasy, Horror            ",92,Stuart Beattie
103,Los pingüinos de Madagascar: La película,2014,6.7,70081,"    Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.","
Animation, Adventure, Comedy            ",92,Eric Darnell
104,The Strain,2014–2017,7.4,69500,    A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.,"
Drama, Horror, Thriller            ",43,Corey Stoll
105,Rio 2,2014,6.3,69104,"    It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets his father-in-law.","
Animation, Adventure, Comedy            ",101,Carlos Saldanha
106,Frank,II 2014,7.0,67915,"    Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.","
Comedy, Drama, Music            ",95,Lenny Abrahamson
107,Un viaje de diez metros,2014,7.3,66152,    The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,"
Comedy, Drama            ",122,Lasse Hallström
108,El hombre más buscado,2014,6.8,65958,"    A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror.","
Crime, Drama, Thriller            ",122,Anton Corbijn
109,El séptimo hijo,I 2014,5.5,64803,"    When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.","
Action, Adventure, Fantasy            ",102,Sergei Bodrov
110,El maestro del agua,2014,7.1,64772,    An Australian man travels to Turkey after the Battle of Gallipoli to try and locate his three missing sons.,"
Drama, History, War            ",111,Russell Crowe
111,Ahí os quedáis,2014,6.6,63322,"    When their father passes away, four grown siblings are forced to return to their childhood home and live under the same roof together for a week, along with their over-sharing mother and an assortment of spouses, exes and might-have-beens.","
Comedy, Drama            ",103,Shawn Levy
112,Así en la Tierra como en el Infierno,2014,6.2,63131,"    When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.","
Horror, Mystery, Thriller            ",93,John Erick Dowdle
113,Líbranos del mal,I 2014,6.2,62164,"    New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.","
Horror, Mystery, Thriller            ",118,Scott Derrickson
114,The Leftovers,2014–2017,8.3,61887,"    Three years after the disappearance of two percent of the global population, a group of people from New York City struggle to continue their lives, while they cope with the tragedy of the unexplained nature of the event.","
Drama, Fantasy, Mystery            ",60,Justin Theroux
115,Last Week Tonight with John Oliver,2014– ,9.0,61746,    Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.,"
Comedy, News, Talk-Show            ",30,John Oliver
116,No confíes en nadie,2014,6.3,61452,"    A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.","
Drama, Horror, Mystery            ",92,Rowan Joffe
117,BoJack Horseman,2014– ,8.5,59891,"    BoJack Horseman was the star of the hit TV show ""Horsin' Around"" in the '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","
Animation, Comedy, Drama            ",25,Will Arnett
118,En el ojo de la tormenta,2014,5.8,59613,"    Storm trackers, thrill-seekers, and everyday townspeople document an unprecedented onslaught of tornadoes touching down in the town of Silverton.","
Action, Thriller            ",89,Steven Quale
119,Eliminado,2014,5.6,58816,"    A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.","
Horror, Mystery            ",83,Levan Gabriadze
120,Amor a segunda vista,2014,6.4,58115,    A snowstorm forces two people who made an online connection to unwillingly extend their one-night stand as the blizzard goes through the night.,"
Comedy, Romance            ",86,Max Nichols
121,La conspiración de noviembre,2014,6.3,57734,    An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level C.I.A. officials and the Russian President-elect.,"
Action, Crime, Thriller            ",108,Roger Donaldson
122,El jugador,III 2014,6.0,57725,"    Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?","
Crime, Drama, Thriller            ",111,Rupert Wyatt
123,El año más violento,2014,7.0,57499,"    In New York City 1981, an ambitious immigrant fights to protect his business and family during the most dangerous year in the city's history.","
Crime, Drama, Thriller            ",125,J.C. Chandor
124,El libro de la vida,2014,7.3,57371,"    Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.","
Animation, Adventure, Comedy            ",95,Jorge R. Gutiérrez
125,Magia a la luz de la luna,2014,6.6,57176,    A romantic comedy about an Englishman brought in to help unmask a possible swindle. Personal and professional complications ensue.,"
Comedy, Romance            ",97,Woody Allen
126,La señal,2014,6.1,57030,"    On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking nightmare.","
Sci-Fi, Thriller            ",97,William Eubank
127,Lo mejor de mí,2014,6.7,56400,    A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,"
Drama, Romance            ",118,Michael Hoffman
128,Gunday,2014,2.1,55880,"    The lives of Calcutta's most powerful Gunday - Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.","
Action, Drama, Romance            ",152,Ali Abbas Zafar
129,Las aventuras de Peabody y Sherman,2014,6.8,55420,"    The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.","
Animation, Adventure, Comedy            ",92,Rob Minkoff
130,Sabotage,2014,5.7,54240,    Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.,"
Action, Crime, Drama            ",109,David Ayer
131,Marco Polo,2014–2016,8.1,53399,"    In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.","
Adventure, Drama, History            ",60,Lorenzo Richelmy
132,Calvary,2014,7.4,50657,"    After he is threatened during a confession, a good-natured priest must battle the dark forces closing in around him.","
Drama            ",102,John Michael McDonagh
