,movie,year,rate,votes,description,genre,minutes,director
543,El caso Sloane,2016,7.5,46489,"    In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.","
Drama, Thriller            ",132,John Madden
544,Infiltrados en Miami,2016,5.9,46026,"    As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.","
Action, Comedy            ",102,Tim Story
545,Todos queremos algo,2016,7.0,45854,"    In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.","
Comedy            ",117,Richard Linklater
546,Airlift,2016,8.1,45837,"    When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","
Drama, History            ",130,Raja Menon
547,Ice Age: El gran cataclismo,2016,5.7,44902,"    Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.","
Animation, Adventure, Comedy            ",94,Mike Thurmeier
548,Reporteras en guerra,2016,6.6,44483,    A journalist recounts her wartime coverage in Afghanistan.,"
Biography, Comedy, Drama            ",112,Glenn Ficarra
549,Crudo,II 2016,7.0,44457,"    An innocent teenager, studying to be a vet, develops a craving for human flesh.","
Drama, Horror            ",99,Julia Ducournau
550,Vivir de noche,2016,6.4,44071,"    A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","
Action, Crime, Drama            ",129,Ben Affleck
551,Los principios del cuidado,2016,7.3,43921,    A man suffering an incredible amount of loss enrolls in a class about care-giving that changes his perspective on life.,"
Comedy, Drama            ",97,Rob Burnett
552,Popstar,2016,6.7,43714,"    When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.","
Comedy, Music            ",87,Akiva Schaffer
553,Ouija: El origen del mal,2016,6.1,43628,"    In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is.","
Horror, Thriller            ",99,Mike Flanagan
554,Orgullo + Prejuicio + Zombis,2016,5.8,43278,    Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,"
Action, Horror, Romance            ",108,Burr Steers
555,La luz entre los océanos,2016,7.2,42368,    A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,"
Drama, Romance            ",133,Derek Cianfrance
556,De-mentes criminales,I 2016,5.8,42326,    A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,"
Action, Comedy, Crime            ",95,Jared Hess
557,Florence Foster Jenkins,2016,6.8,42227,"    The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.","
Biography, Comedy, Drama            ",111,Stephen Frears
558,"Melanie, the Girl with All the Gifts",2016,6.7,42164,    A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.,"
Drama, Horror, Thriller            ",111,Colm McCarthy
559,Los hombres libres de Jones,2016,6.9,41192,    A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,"
Action, Biography, Drama            ",139,Gary Ross
560,Shadowhunters: The Mortal Instruments,2016– ,6.6,41157,"    After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters.","
Action, Fantasy, Romance            ",42,Katherine McNamara
561,Batman: La broma asesina,2016,6.5,40846,"    As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.","
Animation, Action, Crime            ",76,Sam Liu
562,"Yo, Daniel Blake",2016,7.9,40300,"    After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.","
Drama            ",100,Ken Loach
563,Perfetti sconosciuti,2016,7.8,39537,"    Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.","
Comedy, Drama            ",97,Paolo Genovese
564,Keanu,2016,6.3,39345,"    When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.","
Action, Comedy, Crime            ",100,Peter Atencio
565,Spectral,2016,6.3,39044,    A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,"
Action, Mystery, Sci-Fi            ",107,Nic Mathieu
566,The Good Place,2016– ,8.1,38400,    A woman struggles to define what it means to be good.,"
Comedy, Drama, Fantasy            ",22,Kristen Bell
567,Fan,I 2016,7.2,37254,    Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,"
Action, Drama, Thriller            ",138,Maneesh Sharma
